timestamp,jopa
2025-03-04 01:33:47.589,376478
2025-03-04 01:33:47.694,376494
2025-03-04 01:33:47.805,376510
2025-03-04 01:33:47.910,376524
2025-03-04 01:33:48.023,376541
2025-03-04 01:33:48.131,376558
2025-03-04 01:33:48.241,376574
2025-03-04 01:33:48.348,376590
2025-03-04 01:33:48.461,376606
2025-03-04 01:33:48.570,376622
2025-03-04 01:33:48.677,376638
2025-03-04 01:33:48.789,376654
2025-03-04 01:33:48.895,376670
2025-03-04 01:33:49.008,376686
2025-03-04 01:33:49.118,376704
2025-03-04 01:33:49.226,376719
2025-03-04 01:33:49.333,376736
2025-03-04 01:33:49.441,376751
2025-03-04 01:33:49.551,376768
2025-03-04 01:33:49.661,376783
2025-03-04 01:33:49.769,376799
2025-03-04 01:33:49.879,376816
2025-03-04 01:33:49.991,376832
2025-03-04 01:33:50.101,376848
2025-03-04 01:33:50.208,376864
2025-03-04 01:33:50.316,376880
2025-03-04 01:33:50.426,376896
2025-03-04 01:33:50.536,376914
2025-03-04 01:33:50.645,376930
2025-03-04 01:33:50.755,376946
2025-03-04 01:33:50.863,376962
2025-03-04 01:33:50.978,376978
2025-03-04 01:33:51.085,376994
2025-03-04 01:33:51.195,377009
2025-03-04 01:33:51.304,377027
2025-03-04 01:33:51.411,377043
2025-03-04 01:33:51.526,377058
2025-03-04 01:33:51.628,377074
2025-03-04 01:33:51.745,377092
2025-03-04 01:33:51.860,377108
2025-03-04 01:33:51.961,377123
2025-03-04 01:33:52.077,377141
2025-03-04 01:33:52.178,377155
2025-03-04 01:33:52.296,377172
2025-03-04 01:33:52.407,377190
2025-03-04 01:33:52.511,377204
2025-03-04 01:33:52.614,377220
2025-03-04 01:33:52.727,377236
2025-03-04 01:33:52.841,377254
2025-03-04 01:33:52.945,377268
2025-03-04 01:33:53.058,377285
2025-03-04 01:33:53.161,377301
2025-03-04 01:33:53.279,377317
2025-03-04 01:33:53.389,377335
2025-03-04 01:33:53.496,377351
2025-03-04 01:33:53.607,377366
2025-03-04 01:33:53.711,377382
2025-03-04 01:33:53.824,377400
2025-03-04 01:33:53.927,377414
2025-03-04 01:33:54.042,377431
2025-03-04 01:33:54.144,377446
2025-03-04 01:33:54.259,377464
2025-03-04 01:33:54.369,377479
2025-03-04 01:33:54.477,377495
2025-03-04 01:33:54.587,377511
2025-03-04 01:33:54.701,377527
2025-03-04 01:33:54.802,377543
2025-03-04 01:33:54.911,377559
2025-03-04 01:33:55.019,377575
2025-03-04 01:33:55.134,377593
2025-03-04 01:33:55.241,377608
2025-03-04 01:33:55.347,377624
2025-03-04 01:33:55.462,377641
2025-03-04 01:33:55.567,377655
2025-03-04 01:33:55.678,377672
2025-03-04 01:33:55.793,377690
2025-03-04 01:33:55.895,377705
2025-03-04 01:33:56.012,377722
2025-03-04 01:33:56.115,377736
2025-03-04 01:33:56.223,377753
2025-03-04 01:33:56.333,377769
2025-03-04 01:33:56.444,377786
2025-03-04 01:33:56.555,377802
2025-03-04 01:33:56.661,377818
2025-03-04 01:33:56.772,377834
2025-03-04 01:33:56.887,377850
2025-03-04 01:33:56.992,377866
2025-03-04 01:33:57.108,377884
2025-03-04 01:33:57.208,377898
2025-03-04 01:33:57.317,377915
2025-03-04 01:33:57.428,377931
2025-03-04 01:33:57.535,377947
2025-03-04 01:33:57.645,377962
2025-03-04 01:33:57.760,377980
2025-03-04 01:33:57.870,377995
2025-03-04 01:33:57.977,378011
2025-03-04 01:33:58.084,378027
2025-03-04 01:33:58.194,378044
2025-03-04 01:33:58.303,378060
2025-03-04 01:33:58.411,378076
2025-03-04 01:33:58.528,378094
2025-03-04 01:33:58.629,378107
2025-03-04 01:33:58.745,378125
2025-03-04 01:33:58.852,378141
2025-03-04 01:33:58.963,378157
2025-03-04 01:33:59.076,378174
2025-03-04 01:33:59.178,378189
2025-03-04 01:33:59.293,378206
2025-03-04 01:33:59.394,378220
2025-03-04 01:33:59.508,378238
2025-03-04 01:33:59.623,378256
2025-03-04 01:33:59.728,378271
2025-03-04 01:33:59.839,378287
2025-03-04 01:33:59.942,378302
2025-03-04 01:34:00.057,378320
2025-03-04 01:34:00.162,378334
2025-03-04 01:34:00.278,378352
2025-03-04 01:34:00.388,378368
2025-03-04 01:34:00.496,378383
2025-03-04 01:34:00.608,378400
2025-03-04 01:34:00.711,378415
2025-03-04 01:34:00.828,378432
2025-03-04 01:34:00.929,378448
2025-03-04 01:34:01.045,378465
2025-03-04 01:34:01.146,378480
2025-03-04 01:34:01.255,378496
2025-03-04 01:34:01.364,378512
2025-03-04 01:34:01.474,378528
2025-03-04 01:34:01.595,378546
2025-03-04 01:34:01.695,378562
2025-03-04 01:34:01.808,378577
2025-03-04 01:34:01.911,378594
2025-03-04 01:34:02.028,378610
2025-03-04 01:34:02.144,378628
2025-03-04 01:34:02.241,378642
2025-03-04 01:34:02.356,378658
2025-03-04 01:34:02.459,378674
2025-03-04 01:34:02.567,378689
2025-03-04 01:34:02.678,378705
2025-03-04 01:34:02.795,378723
2025-03-04 01:34:02.898,378739
2025-03-04 01:34:03.004,378755
2025-03-04 01:34:03.116,378770
2025-03-04 01:34:03.228,378788
2025-03-04 01:34:03.339,378803
2025-03-04 01:34:03.445,378820
2025-03-04 01:34:03.557,378836
2025-03-04 01:34:03.663,378852
2025-03-04 01:34:03.779,378868
2025-03-04 01:34:03.880,378884
2025-03-04 01:34:03.994,378900
2025-03-04 01:34:04.098,378916
2025-03-04 01:34:04.212,378932
2025-03-04 01:34:04.329,378950
2025-03-04 01:34:04.428,378965
2025-03-04 01:34:04.545,378981
2025-03-04 01:34:04.658,378999
2025-03-04 01:34:04.762,379013
2025-03-04 01:34:04.865,379029
2025-03-04 01:34:04.974,379045
2025-03-04 01:34:05.085,379062
2025-03-04 01:34:05.192,379078
2025-03-04 01:34:05.312,379096
2025-03-04 01:34:05.412,379110
2025-03-04 01:34:05.529,379127
2025-03-04 01:34:05.642,379143
2025-03-04 01:34:05.746,379159
2025-03-04 01:34:05.859,379176
2025-03-04 01:34:05.958,379191
2025-03-04 01:34:06.078,379209
2025-03-04 01:34:06.179,379223
2025-03-04 01:34:06.287,379239
2025-03-04 01:34:06.395,379255
2025-03-04 01:34:06.512,379273
2025-03-04 01:34:06.624,379289
2025-03-04 01:34:06.729,379304
2025-03-04 01:34:06.845,379322
2025-03-04 01:34:06.946,379337
2025-03-04 01:34:07.061,379354
2025-03-04 01:34:07.163,379368
2025-03-04 01:34:07.279,379386
2025-03-04 01:34:07.388,379402
2025-03-04 01:34:07.495,379418
2025-03-04 01:34:07.606,379434
2025-03-04 01:34:07.712,379450
2025-03-04 01:34:07.823,379466
2025-03-04 01:34:07.928,379482
2025-03-04 01:34:08.042,379499
2025-03-04 01:34:08.145,379514
2025-03-04 01:34:08.261,379531
2025-03-04 01:34:08.372,379547
2025-03-04 01:34:08.478,379563
2025-03-04 01:34:08.588,379580
2025-03-04 01:34:08.695,379595
2025-03-04 01:34:08.806,379611
2025-03-04 01:34:08.913,379627
2025-03-04 01:34:09.026,379644
2025-03-04 01:34:09.136,379660
2025-03-04 01:34:09.245,379676
2025-03-04 01:34:09.354,379692
2025-03-04 01:34:09.463,379708
2025-03-04 01:34:09.575,379726
2025-03-04 01:34:09.679,379740
2025-03-04 01:34:09.792,379758
